 num     #instances         #bytes  class name
----------------------------------------------
   1:          1262         112920  [C
   2:           543          61768  java.lang.Class
   3:            31          31200  [B
   4:          1248          29952  java.lang.String
   5:           551          27944  [Ljava.lang.Object;
   6:           388           9312  java.util.LinkedList$Node
   7:           229           7328  java.util.HashMap$Node
   8:           195           6240  java.util.LinkedList
   9:           143           4576  java.util.Hashtable$Entry
  10:           102           4328  [I
  11:           256           4096  java.lang.Integer
  12:            96           3840  java.lang.ref.SoftReference
  13:            15           3248  [Ljava.util.HashMap$Node;
  14:             7           2632  java.lang.Thread
  15:            61           2168  [Ljava.lang.String;
  16:            59           1888  java.util.concurrent.ConcurrentHashMap$Node
  17:            38           1824  sun.util.locale.LocaleObjectCache$CacheEntry
  18:            22           1408  java.net.URL
  19:            10           1392  [Ljava.util.Hashtable$Entry;
  20:            14           1120  java.lang.reflect.Constructor
  21:             2           1064  [Ljava.lang.invoke.MethodHandle;
  22:            22           1056  java.util.HashMap
  23:             1           1040  [Ljava.lang.Integer;
  24:            26           1040  java.io.ObjectStreamField
  25:            25           1000  java.lang.ref.Finalizer
  26:            19            760  sun.util.locale.BaseLocale$Key
  27:            46            736  java.lang.Object
  28:             8            640  [S
  29:            16            640  java.util.LinkedHashMap$Entry
  30:            11            616  sun.misc.URLClassPath$JarLoader
  31:            19            608  java.util.Locale
  32:            19            608  sun.util.locale.BaseLocale
  33:             5            528  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  34:             6            480  [Ljava.util.WeakHashMap$Entry;
  35:            19            456  java.util.Locale$LocaleKey
  36:             7            448  java.util.concurrent.ConcurrentHashMap
  37:            11            440  java.security.AccessControlContext
  38:            17            408  java.util.jar.Attributes$Name
  39:             7            392  java.util.zip.ZipFile$ZipFileInputStream
  40:            16            384  java.io.ExpiringCache$Entry
  41:             1            384  java.lang.ref.Finalizer$FinalizerThread
  42:             6            384  java.nio.DirectByteBuffer
  43:             1            376  java.lang.ref.Reference$ReferenceHandler
  44:             6            336  java.nio.DirectLongBufferU
  45:             7            336  java.util.Hashtable
  46:             6            336  java.util.zip.ZipFile$ZipFileInflaterInputStream
  47:            10            320  java.lang.OutOfMemoryError
  48:            10            320  java.lang.ref.ReferenceQueue
  49:            13            312  java.util.ArrayList
  50:            10            288  [Ljava.io.ObjectStreamField;
  51:             9            288  java.io.File
  52:             6            288  java.util.WeakHashMap
  53:             5            280  sun.nio.cs.UTF_8$Encoder
  54:             9            216  sun.misc.MetaIndex
